0
duration
rating
writers_Woody Allen
writers_Stephen King
writers_Luc Besson
directors_Woody Allen
directors_Clint Eastwood
directors_Steven Spielberg
stars_Robert De Niro
stars_Nicolas Cage
stars_Tom Hanks
production_companies_Universal Pictures
production_companies_Warner Bros.
production_companies_Paramount Pictures
Drama
Comedy
Dark Comedy
Action
Crime
Biography
Romantic Comedy
Period Drama
Documentary
Adventure
Coming-of-Age
Docudrama
Animal Adventure
Buddy Comedy
Satire
year
profit_log
budget_log
votes_log
