Model,RMSE,MAE,R2
Random_Forest,0.1994932451109289,0.07286735412956093,0.9590706153436112
Decision_Tree,0.2522457271472048,0.09477049795890802,0.9345625356867148
SVR,0.4191041422286085,0.26177814469617444,0.8193563366495857
